Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
10,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0
13,0.1,0.08333333333333333,0.0909090909090909,0.05,0.0,0.3022648515518083
37,0.05,0.006711409395973154,0.01183431952662722,0.0,0.0,0.27023815442731974
4,0.0,0.0,0.0,0.0,0.0,0.0
26,0.7,0.2978723404255319,0.417910447761194,0.7002536679007266,0.6347222222222223,0.8649788672266233
21,0.4,0.1,0.16000000000000003,0.5810228696741855,0.7142857142857142,0.8321219457133522
17,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
24,0.7,0.5384615384615384,0.608695652173913,0.9005205320994795,0.9,0.8561459478726667
11,0.05,0.009009009009009009,0.015267175572519083,0.0,0.0,0.2559580248098155
50,0.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.041666666666666664,0.04545454545454545,0.0,0.0,0.5
1,0.6,0.1518987341772152,0.24242424242424243,0.6804006179006179,0.8,0.9281007456787506
42,0.25,0.007173601147776184,0.013947001394700138,0.23753501400560223,0.23809523809523808,0.6608173224225361
36,0.9,0.07086614173228346,0.13138686131386862,0.7354363343914428,0.5844246031746032,0.8687837965518274
45,0.05,0.00641025641025641,0.011363636363636364,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
43,0.05,0.005128205128205128,0.009302325581395349,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
34,0.05,0.03225806451612903,0.0392156862745098,0.0,0.0,0.23540891336663824
47,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15,0.01171875,0.021739130434782608,0.6666666666666666,0.6666666666666666,1.0
28,0.1,0.15384615384615385,0.12121212121212123,0.25,0.25,0.7539531690476383
38,0.0,0.0,0.0,0.0,0.0,0.0
15,0.05,0.011111111111111112,0.01818181818181818,0.0,0.0,0.25
18,1.0,1.0,1.0,0.0,0.0,1.0
41,1.0,0.03436426116838488,0.0664451827242525,0.95,0.9,0.8504380011032113
27,0.05,0.034482758620689655,0.04081632653061224,0.0,0.0,1.0
49,0.2,0.0547945205479452,0.08602150537634408,0.4270833333333333,0.4270833333333333,0.7329776664403393
35,0.5,0.03690036900369004,0.06872852233676977,0.443811977496188,0.375,0.7624035364738018
30,0.05,0.006060606060606061,0.010810810810810811,0.0,0.0,0.3010299956639812
7,0.55,0.09565217391304348,0.16296296296296295,0.7455905205905204,0.7951388888888888,0.7781105174773377
29,0.05,0.023255813953488372,0.031746031746031744,0.0,0.0,0.43067655807339306
16,0.35,0.047619047619047616,0.0838323353293413,0.5210884353741496,0.5210884353741496,0.7989073694751531
33,0.0,0.0,0.0,0.0,0.0,0.0
25,0.05,0.03125,0.038461538461538464,0.0,0.0,0.38685280723454163
9,0.8,0.1391304347826087,0.23703703703703705,0.638024863477166,0.47091836734693876,0.7372805681973066
22,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.2127659574468085,0.3508771929824561,0.95,0.9,1.0
32,0.05,0.0020161290322580645,0.003875968992248062,0.0,0.0,0.26264953503719357
44,0.5,0.015408320493066256,0.029895366218236172,0.34097468407065923,0.24047619047619045,0.47740670135120156
46,0.75,0.07614213197969544,0.1382488479262673,0.8973767752715122,0.9,0.992208929809741
40,0.3,0.021660649819494584,0.04040404040404041,0.21251167133520077,0.16666666666666666,0.6112979105788716
8,0.0,0.0,0.0,0.0,0.0,0.0
20,0.3,0.05172413793103448,0.08823529411764706,0.2359307359307359,0.15079365079365079,0.5761160724882866
48,0.5,0.06451612903225806,0.1142857142857143,0.47335276350756217,0.4417989417989417,0.7569904722274209
2,0.45,0.0891089108910891,0.1487603305785124,0.6217171717171718,0.6842592592592592,0.8023637307311862
23,0.15,0.0189873417721519,0.03370786516853933,0.15,0.125,0.7490481967369615
Avg,0.2770000000000001,0.08666610018857085,0.11182279571422366,0.26151930602819173,0.25106169690098257,0.5117106061553782
