Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
10,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0
13,0.06,0.125,0.08108108108108109,0.04722222222222222,0.0,0.2974740376839069
37,0.14,0.04697986577181208,0.07035175879396986,0.07093222419548574,0.0,0.3244783719465126
4,0.02,0.03333333333333333,0.025,0.0,0.0,0.1949590218937863
26,0.4,0.425531914893617,0.4123711340206186,0.6351913212843117,0.6347222222222223,0.8536372068363294
21,0.24,0.15,0.1846153846153846,0.46750533813830647,0.7142857142857142,0.7293809639366239
17,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
24,0.44,0.8461538461538461,0.5789473684210525,0.7946554895535548,0.9,0.8243920944150362
11,0.04,0.018018018018018018,0.024844720496894408,0.015151515151515152,0.0,0.22625982852131904
50,0.12,0.019867549668874173,0.034090909090909095,0.06820099232669544,0.0,0.3011571074954073
5,0.02,0.041666666666666664,0.02702702702702703,0.0,0.0,0.5
1,0.24,0.1518987341772152,0.18604651162790697,0.6804006179006179,0.8,0.9281007456787506
42,0.18,0.01291248206599713,0.024096385542168676,0.21795599185089676,0.23809523809523808,0.6172963792647786
36,0.96,0.1889763779527559,0.31578947368421045,0.8619775553473853,0.5844246031746032,0.9195438601001157
45,0.02,0.00641025641025641,0.009708737864077669,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
43,0.02,0.005128205128205128,0.00816326530612245,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
34,0.02,0.03225806451612903,0.024691358024691357,0.0,0.0,0.23540891336663824
47,0.02,0.0027397260273972603,0.004819277108433735,0.0,0.0,0.2103099178571525
12,0.06,0.01171875,0.0196078431372549,0.6666666666666666,0.6666666666666666,1.0
28,0.04,0.15384615384615385,0.0634920634920635,0.25,0.25,0.7539531690476383
38,0.0,0.0,0.0,0.0,0.0,0.0
15,0.04,0.022222222222222223,0.028571428571428574,0.023809523809523808,0.0,0.23712191210878772
18,1.0,1.0,1.0,0.0,0.0,1.0
41,0.66,0.05670103092783505,0.10443037974683544,0.892126881996697,0.9,0.8023092769925368
27,0.02,0.034482758620689655,0.02531645569620253,0.0,0.0,1.0
49,0.12,0.0821917808219178,0.0975609756097561,0.3445512820512821,0.4270833333333333,0.697899561243156
35,0.26,0.04797047970479705,0.08099688473520249,0.42331399201338465,0.375,0.7560460574864193
30,0.02,0.006060606060606061,0.009302325581395349,0.0,0.0,0.3010299956639812
7,0.26,0.11304347826086956,0.15757575757575756,0.6963956983187752,0.7951388888888888,0.7446624397272467
29,0.02,0.023255813953488372,0.02150537634408602,0.0,0.0,0.43067655807339306
16,0.16,0.05442176870748299,0.08121827411167512,0.4851190476190476,0.5210884353741496,0.7850105659128619
33,0.0,0.0,0.0,0.0,0.0,0.0
25,0.04,0.0625,0.048780487804878044,0.015151515151515152,0.0,0.29170721973368213
9,0.88,0.3826086956521739,0.5333333333333334,0.7806467699742086,0.47091836734693876,0.836853341457564
22,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8409090909090909,0.39361702127659576,0.5362318840579711,0.9377451823940451,0.9,0.9934637847788821
32,0.1,0.010080645161290322,0.018315018315018312,0.05436100131752306,0.0,0.28103221947655854
44,0.34,0.026194144838212634,0.04864091559370529,0.3867681267084836,0.24047619047619045,0.5268950399101533
46,0.76,0.19289340101522842,0.30769230769230765,0.8216555475164062,0.9,0.9645222685390421
40,0.14,0.02527075812274368,0.04281345565749235,0.21389889289048952,0.16666666666666666,0.6098944102232842
8,0.0,0.0,0.0,0.0,0.0,0.0
20,0.24,0.10344827586206896,0.14457831325301204,0.2230620616498754,0.15079365079365079,0.5029033501450086
48,0.44,0.14193548387096774,0.21463414634146344,0.4568054194028392,0.4417989417989417,0.6642339320613413
2,0.22,0.10891089108910891,0.1456953642384106,0.5535882275364867,0.6842592592592592,0.7735135575265047
23,0.14,0.04430379746835443,0.0673076923076923,0.12317173534196928,0.125,0.532424350577288
Avg,0.21481818181818185,0.1190910599653386,0.13332775866088695,0.25749395013993753,0.25106169690098257,0.5129710291936337
