Query, Precision, Recall, F1, MeanPrecision, MeanPrecision@10, NDCG
10,1.0,0.75,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0
13,0.08,0.16666666666666666,0.10810810810810811,0.08511904761904762,0.1,0.5660420610959979
37,0.12,0.040268456375838924,0.06030150753768844,0.058548376184908525,0.0,0.30583341978874373
4,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3,0.3191489361702128,0.30927835051546393,0.395727301392263,0.4382936507936508,0.7371625707851291
21,0.16,0.1,0.12307692307692307,0.4972883597883598,0.62,0.7869118320254737
17,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
24,0.32,0.6153846153846154,0.4210526315789474,0.5093731162866049,0.40925925925925927,0.6687008863159406
11,0.02,0.009009009009009009,0.012422360248447204,0.0,0.0,0.38685280723454163
50,0.16,0.026490066225165563,0.045454545454545456,0.15130623648602484,0.0,0.37475597906184405
5,0.02,0.041666666666666664,0.02702702702702703,0.0,0.0,0.43067655807339306
1,0.24,0.1518987341772152,0.18604651162790697,0.6804006179006179,0.8,0.9281007456787506
42,0.06,0.00430416068866571,0.008032128514056224,0.024763135228251507,0.0,0.29388800206810534
36,0.88,0.1732283464566929,0.28947368421052627,0.7815608434822768,0.5844246031746032,0.8987477879746598
45,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
43,0.02,0.005128205128205128,0.00816326530612245,0.0,0.0,0.5
19,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
34,0.02,0.03225806451612903,0.024691358024691357,0.0,0.0,0.3562071871080222
47,0.02,0.0027397260273972603,0.004819277108433735,0.0,0.0,0.2037950470905062
12,0.14,0.02734375,0.04575163398692811,0.5739680487579647,0.75,0.9035194608643308
28,0.02,0.07692307692307693,0.03174603174603175,0.0,0.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0
15,0.04,0.022222222222222223,0.028571428571428574,0.023809523809523808,0.0,0.23712191210878772
18,1.0,1.0,1.0,0.0,0.0,1.0
41,0.3,0.02577319587628866,0.04746835443037974,0.21302043221186093,0.0,0.4456492986552652
27,0.02,0.034482758620689655,0.02531645569620253,0.0,0.0,1.0
49,0.1,0.0684931506849315,0.08130081300813008,0.39499999999999996,0.4270833333333333,0.6952971929640485
35,0.22,0.04059040590405904,0.06853582554517135,0.42713705461116586,0.6041666666666666,0.8140143439571824
30,0.0,0.0,0.0,0.0,0.0,0.0
7,0.22,0.09565217391304348,0.13333333333333336,0.39166765520437424,0.5166666666666666,0.6182104590708061
29,0.02,0.023255813953488372,0.02150537634408602,0.0,0.0,0.5
16,0.14,0.047619047619047616,0.07106598984771574,0.16122416915484145,0.14074074074074075,0.5065451428834471
33,0.0,0.0,0.0,0.0,0.0,0.0
25,0.04,0.0625,0.048780487804878044,0.015151515151515152,0.0,0.29170721973368213
9,0.72,0.3130434782608696,0.4363636363636364,0.6792774890050173,0.35568783068783066,0.7722283396772079
22,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8409090909090909,0.39361702127659576,0.5362318840579711,0.9377451823940451,0.9,0.9934637847788821
32,0.04,0.004032258064516129,0.007326007326007325,0.021739130434782608,0.0,0.2244815964598125
44,0.14,0.01078582434514638,0.020028612303290415,0.25785709020450287,0.27777777777777773,0.5811580224531944
46,0.7,0.17766497461928935,0.2834008097165992,0.6637107539337076,0.5427579365079365,0.8475253723298536
40,0.06,0.010830324909747292,0.01834862385321101,0.08465608465608465,0.05555555555555555,0.4100734166626813
8,0.02,0.006211180124223602,0.00947867298578199,0.0,0.0,0.21274605355336318
20,0.06,0.02586206896551724,0.03614457831325301,0.0434173669467787,0.0,0.551484525473931
48,0.16,0.05161290322580645,0.07804878048780488,0.17260883211635608,0.25,0.688199690807515
2,0.16,0.07920792079207921,0.10596026490066227,0.4523894578074144,0.6,0.7700813764498378
23,0.06,0.0189873417721519,0.028846153846153848,0.1111111111111111,0.125,0.7287430538989124
Avg,0.1728181818181818,0.10109805091130539,0.11297288579900804,0.18952489197092134,0.18328161375661378,0.4645985029416771
